                  yr,year,gpp_yr,Rnitr,NPP_yr,Rh_yr,NEE_yr,Precp,Evap,Transp,Runoff,N_up,N_fix,N_depo,N_leach,N_vol,N_def,Q_leaf,Q_wood,Q_root,Q_fine,Q_coarse,Q_Micr,Q_Slow,Q_Pass,N_leaf,N_wood,N_root,N_fine,N_coarse,N_micr,N_slowC,N_pass,QNminer,NSN
    65,  2002,   2274.3882,     85.0920,   1209.7941,   1295.9016,     84.7512,   1092.1993,    385.3466,    286.6086,    380.8000,     13.0835,      0.0000,      2.3400,      0.0151,      0.0397,      0.0283,    288.2807,  14666.8516,    387.5836,    216.1662,   1054.7861,    105.9624,   8660.5645,    607.5438,      5.7656,     41.8899,      6.4597,      5.4018,      3.5159,      3.8525,    311.9342,     50.6286,      0.0035,      6.0041,
    66,  2003,   2653.6506,     95.2957,   1421.5735,   1283.0685,   -138.4175,   1345.7749,    359.1339,    306.6498,    683.3847,     13.9904,      0.0000,      2.3400,      0.0309,      0.0352,      0.1020,    292.8370,  14741.8311,    423.4777,    209.9910,   1047.3455,    103.1506,   8682.9287,    612.4641,      5.8567,     42.0990,      7.0580,      5.2443,      3.4911,      3.5614,    313.4295,     51.0386,      0.0075,      5.9312,
    67,  2004,   2698.7620,     95.1533,   1456.0100,   1313.2000,   -142.6437,    992.0981,    356.5610,    312.4518,    319.4086,     14.4353,      0.0000,      2.3464,      0.0139,      0.0366,      0.1278,    295.6449,  14822.8623,    440.9127,    216.9791,   1039.6980,    104.5621,   8703.8350,    617.3929,      5.9129,     42.3320,      7.3485,      5.4163,      3.4656,      3.5668,    314.6025,     51.4494,      0.0060,      5.9063,
    68,  2005,   2570.5684,     91.0416,   1370.3843,   1310.0979,    -63.9166,    934.3985,    364.5520,    316.3522,    250.2952,     13.7380,      0.0000,      2.3400,      0.0090,      0.0379,      0.1709,    284.1174,  14832.0098,    416.7397,    228.2136,   1046.2306,    107.5004,   8733.6758,    622.2191,      5.6823,     42.3609,      6.9457,      5.7037,      3.4874,      3.8730,    316.5186,     51.8515,      0.0074,      5.8640,
    69,  2006,   2781.9565,    103.1765,   1475.4672,   1295.2672,   -181.5945,   1101.7489,    402.9660,    339.7104,    361.3385,     14.5739,      0.0000,      2.3400,      0.0135,      0.0320,      0.3262,    297.5090,  14912.2080,    438.5483,    223.4828,   1061.8306,    108.3390,   8763.9033,    626.9368,      5.9502,     42.5937,      7.3091,      5.5809,      3.5394,      3.7319,    317.9118,     52.2447,      0.0054,      5.7094,
    70,  2007,   2256.8091,     94.1830,   1204.6558,   1177.7159,    -20.3807,    800.6030,    425.2637,    283.0550,    188.2728,     12.5545,      0.0000,      2.3400,      0.0063,      0.0318,      0.3892,    261.0384,  14878.1582,    420.2706,    249.6064,   1072.5913,    115.3766,   8802.6172,    631.1511,      5.2208,     42.4956,      7.0045,      6.2396,      3.5753,      4.0397,    320.0264,     52.5958,      0.0106,      5.6469,
    71,  1998,   2549.7568,     99.5663,   1364.6034,   1311.4854,    -47.1721,   1209.1770,    398.3164,    313.0364,    452.0680,     14.5198,      0.0000,      2.3400,      0.0177,      0.0341,      0.2576,    284.4570,  14859.9160,    415.0395,    234.9887,   1079.0145,    110.9627,   8844.5303,    635.8309,      5.6891,     42.4437,      6.9173,      5.8741,      3.5967,      3.8245,    322.0155,     52.9859,      0.0074,      5.7793,
    72,  1999,   2671.8347,     97.1662,   1411.2115,   1322.1949,   -101.0305,   1363.0037,    433.3342,    337.4405,    544.0878,     14.2219,      0.0000,      2.3400,      0.0230,      0.0387,      0.2169,    295.1221,  14893.4131,    425.8413,    214.8184,   1073.5253,    107.1810,   8877.9189,    640.5320,      5.9024,     42.5408,      7.0974,      5.3682,      3.5784,      3.7525,    323.9508,     53.3776,      0.0072,      5.8208,
    73,  2000,   2607.8926,     90.0391,   1392.6117,   1284.4219,    -89.1378,   1131.5302,    386.8641,    319.2064,    428.8083,     13.6945,      0.0000,      2.3464,      0.0183,      0.0353,      0.0903,    283.4434,  14928.3027,    414.8403,    232.5905,   1086.9636,    108.3542,   8903.0176,    645.0343,      5.6689,     42.6376,      6.9140,      5.8142,      3.6232,      3.8771,    325.4431,     53.7528,      0.0064,      5.9481,
    74,  2001,   2753.3662,     99.0423,   1459.5043,   1309.3047,   -164.0548,    946.5953,    407.4504,    333.2047,    241.2467,     14.4458,      0.0000,      2.3400,      0.0111,      0.0343,      0.2434,    294.9785,  14997.5352,    443.2520,    221.1355,   1086.6144,    109.5288,   8934.1436,    649.5477,      5.8996,     42.8275,      7.3875,      5.5278,      3.6220,      3.7264,    327.0339,     54.1289,      0.0085,      5.7957,
    75,  2002,   2274.4229,     79.6747,   1212.2052,   1318.8768,    105.3341,   1092.1993,    385.3874,    286.6317,    380.7030,     12.9716,      0.0000,      2.3400,      0.0159,      0.0432,      0.0192,    288.3168,  14923.5684,    388.3012,    216.4883,   1074.5070,    107.6819,   8963.5352,    654.0624,      5.7663,     42.6210,      6.4717,      5.4101,      3.5817,      4.0134,    329.8277,     54.5051,      0.0036,      6.0206,
    76,  2003,   2653.8267,     90.7222,   1423.6865,   1305.7277,   -117.6870,   1345.7749,    359.1821,    306.7583,    683.2280,     14.0378,      0.0000,      2.3400,      0.0324,      0.0386,      0.0640,    292.8658,  14989.8203,    424.2148,    210.3913,   1066.1525,    104.7931,   8976.6221,    658.4919,      5.8573,     42.8030,      7.0702,      5.2555,      3.5538,      3.7158,    331.3582,     54.8743,      0.0078,      5.9768,
    77,  2004,   2698.7949,     90.6613,   1457.8733,   1335.4510,   -122.4870,    992.0981,    356.5684,    312.4610,    319.3932,     14.4757,      0.0000,      2.3464,      0.0149,      0.0401,      0.0633,    295.6698,  15060.5498,    441.5371,    217.3958,   1057.6121,    106.1274,   8988.1602,    662.9283,      5.9134,     43.0066,      7.3590,      5.4277,      3.5253,      3.7099,    332.5831,     55.2440,      0.0062,      5.9785,
    78,  2005,   2570.2183,     87.2831,   1371.7693,   1331.1359,    -44.4173,    934.3985,    364.5250,    316.4740,    250.1998,     13.7464,      0.0000,      2.3400,      0.0096,      0.0415,      0.1101,    284.1250,  15060.8682,    417.1573,    228.4804,   1063.5364,    109.0481,   9009.0635,    667.2540,      5.6825,     43.0080,      6.9526,      5.7106,      3.5451,      4.0223,    334.5688,     55.6044,      0.0076,      5.9327,
    79,  2006,   2781.9863,     99.2676,   1477.1035,   1315.2250,   -163.1600,   1101.7489,    402.9770,    339.7204,    361.3170,     14.6225,      0.0000,      2.3400,      0.0141,      0.0352,      0.2307,    297.5349,  15132.8506,    439.0192,    223.7304,   1078.6719,    109.8352,   9030.9307,    671.4778,      5.9507,     43.2138,      7.3170,      5.5877,      3.5955,      3.8704,    335.9964,     55.9564,      0.0056,      5.8132,
    80,  2007,   2256.8389,     90.6223,   1206.2484,   1194.7463,     -4.8428,    800.6030,    425.3122,    283.0763,    188.2577,     12.5724,      0.0000,      2.3400,      0.0068,      0.0345,      0.2907,    261.0439,  15091.4717,    420.8573,    249.9088,   1089.0277,    116.8522,   9062.5439,    675.2482,      5.2209,     43.0939,      7.0143,      6.2471,      3.6301,      4.1798,    338.1591,     56.2706,      0.0111,      5.7541,
    81,  1998,   2549.7832,     95.2528,   1366.3962,   1330.2559,    -30.2663,   1209.1770,    398.3251,    313.0517,    451.9866,     14.5298,      0.0000,      2.3400,      0.0191,      0.0373,      0.1628,    284.4095,  15065.3359,    415.5758,    235.3051,   1094.8903,    112.3724,   9096.5537,    679.4266,      5.6882,     43.0192,      6.9263,      5.8820,      3.6496,      3.9639,    340.2117,     56.6188,      0.0077,      5.8830,
    82,  1999,   2671.8928,     92.8848,   1413.0546,   1340.7855,    -84.3148,   1363.0037,    433.3624,    337.4830,    544.0188,     14.2278,      0.0000,      2.3400,      0.0245,      0.0421,      0.1335,    295.1484,  15091.1943,    426.4051,    215.0864,   1088.7303,    108.5592,   9122.2539,    683.6113,      5.9030,     43.0926,      7.1068,      5.3752,      3.6291,      3.8933,    342.2178,     56.9676,      0.0075,      5.9135,
    83,  2000,   2607.9841,     85.2694,   1394.7777,   1302.0021,    -73.8734,   1131.5302,    386.8978,    319.2582,    428.7285,     13.6703,      0.0000,      2.3464,      0.0196,      0.0386,      0.0494,    283.4627,  15118.7422,    415.4956,    232.9859,   1101.7683,    109.6730,   9139.8320,    687.6060,      5.6693,     43.1707,      6.9249,      5.8241,      3.6725,      4.0317,    343.7919,     57.3005,      0.0067,      5.9987,
    84,  2001,   2753.4231,     95.0433,   1461.3309,   1326.6569,   -148.4709,    946.5953,    407.4711,    333.2468,    241.1961,     14.5331,      0.0000,      2.3400,      0.0117,      0.0373,      0.1308,    294.9968,  15180.6748,    443.8247,    221.4644,   1100.7916,    110.8310,   9163.7363,    691.6092,      5.8999,     43.3467,      7.3971,      5.5360,      3.6693,      3.8614,    345.4008,     57.6340,      0.0089,      5.9186,
    85,  2002,   2274.4529,     75.0845,   1214.2255,   1335.6399,    119.9394,   1092.1993,    385.4198,    286.6480,    380.6364,     12.8809,      0.0000,      2.3400,      0.0168,      0.0469,      0.0148,    288.3448,  15100.2988,    388.9342,    216.7667,   1088.0240,    108.9423,   9185.9941,    695.6016,      5.7669,     43.1157,      6.4822,      5.4172,      3.6267,      4.1786,    348.3287,     57.9667,      0.0038,      6.0356,
    86,  2003,   2653.8984,     85.9188,   1425.9585,   1322.2577,   -103.4053,   1345.7749,    359.2045,    306.8003,    683.1639,     14.0674,      0.0000,      2.3400,      0.0343,      0.0421,      0.0493,    292.8892,  15159.9453,    424.9875,    210.7216,   1079.0770,    106.0018,   9191.9385,    699.4839,      5.8578,     43.2860,      7.0831,      5.2648,      3.5969,      3.8785,    349.9041,     58.2903,      0.0080,      6.0024,
    87,  2004,   2698.8281,     86.3219,   1459.9333,   1351.7811,   -108.0286,    992.0981,    356.5825,    312.4825,    319.3568,     14.5144,      0.0000,      2.3464,      0.0158,      0.0437,      0.0284,    295.6882,  15224.8721,    442.3212,    217.7628,   1069.9685,    107.2953,   9196.5742,    703.3810,      5.9138,     43.4717,      7.3720,      5.4373,      3.5665,      3.8642,    351.1815,     58.6150,      0.0064,      6.0248,
    88,  2005,   2570.2529,     83.8705,   1373.2095,   1346.6038,    -30.5006,    934.3985,    364.5336,    316.4782,    250.1870,     13.7736,      0.0000,      2.3400,      0.0100,      0.0451,      0.0601,    284.1358,  15218.6875,    417.7394,    228.7543,   1075.4796,    110.1855,   9210.9336,    707.1777,      5.6827,     43.4562,      6.9623,      5.7176,      3.5849,      4.1762,    353.2174,     58.9314,      0.0078,      5.9943,
    89,  2006,   2782.1138,     94.4616,   1479.4686,   1329.9451,   -150.7801,   1101.7489,    403.0173,    339.7964,    361.2014,     14.6406,      0.0000,      2.3400,      0.0157,      0.0386,      0.1829,    297.5479,  15284.2129,    439.7334,    224.0502,   1090.3098,    110.9515,   9226.5205,    710.8685,      5.9510,     43.6418,      7.3289,      5.5959,      3.6343,      4.0246,    354.6985,     59.2390,      0.0058,      5.8728,
    90,  2007,   2256.8623,     87.5881,   1207.6687,   1207.4114,      6.3524,    800.6030,    425.3359,    283.0838,    188.2523,     12.6425,      0.0000,      2.3400,      0.0069,      0.0372,      0.1850,    261.0442,  15237.9727,    421.4523,    250.1982,   1100.3862,    117.9475,   9252.9902,    714.1835,      5.2209,     43.5124,      7.0242,      6.2544,      3.6679,      4.3202,    356.8710,     59.5152,      0.0116,      5.8716,
    91,  1998,   2549.8169,     91.4129,   1368.2455,   1344.0579,    -18.3298,   1209.1770,    398.3526,    313.1155,    451.9284,     14.5434,      0.0000,      2.3400,      0.0199,      0.0406,      0.0583,    284.3214,  15206.5312,    416.0955,    235.6198,   1105.8824,    113.4325,   9281.2471,    717.8404,      5.6864,     43.4306,      6.9349,      5.8899,      3.6862,      4.1037,    358.9850,     59.8200,      0.0080,      5.9993,
    92,  1999,   2671.9187,     87.9963,   1415.3970,   1354.4852,    -72.9471,   1363.0037,    433.3741,    337.5037,    543.9274,     14.2218,      0.0000,      2.3400,      0.0268,      0.0456,      0.0564,    295.1651,  15227.1387,    427.0468,    215.3765,   1099.2640,    109.5863,   9301.1094,    721.4967,      5.9033,     43.4934,      7.1174,      5.3827,      3.6642,      4.0381,    361.0664,     60.1247,      0.0078,      6.0018,
    93,  2000,   2608.0469,     80.7779,   1397.0610,   1314.9885,    -63.1046,   1131.5302,    386.9220,    319.2961,    428.6704,     13.6490,      0.0000,      2.3464,      0.0209,      0.0419,      0.0125,    283.4753,  15249.1572,    416.1804,    233.3262,   1111.9596,    110.6636,   9313.1533,    724.9771,      5.6695,     43.5560,      6.9363,      5.8326,      3.7065,      4.1903,    362.7171,     60.4147,      0.0070,      6.0464,
    94,  2001,   2753.4072,     91.7613,   1463.0674,   1339.3838,   -137.1827,    946.5953,    407.4679,    333.2373,    241.2128,     14.6252,      0.0000,      2.3400,      0.0121,      0.0404,      0.0156,    295.0056,  15305.1719,    444.3647,    221.7799,   1110.5952,    111.7925,   9331.7402,    728.4532,      5.9001,     43.7146,      7.4061,      5.5439,      3.7019,      3.9975,    364.3279,     60.7044,      0.0092,      6.0438,
    95,  2002,   2274.4797,     70.5777,   1216.2401,   1347.9469,    129.8093,   1092.1993,    385.4539,    286.6632,    380.5789,     12.7859,      0.0000,      2.3400,      0.0178,      0.0506,      0.0113,    288.3657,  15220.3301,    389.5141,    217.0275,   1097.3267,    109.8748,   9348.8506,    731.9193,      5.7673,     43.4738,      6.4919,      5.4239,      3.6577,      4.3476,    367.3923,     60.9932,      0.0039,      6.0486,
    96,  2003,   2653.9409,     81.4797,   1428.1642,   1334.3680,    -93.5056,   1345.7749,    359.2180,    306.8227,    683.1276,     14.0986,      0.0000,      2.3400,      0.0358,      0.0458,      0.0328,    292.9040,  15274.4229,    425.7234,    211.0142,   1087.9548,    106.8945,   9349.6426,    735.2745,      5.8581,     43.6271,      7.0954,      5.2732,      3.6265,      4.0423,    369.0048,     61.2728,      0.0083,      6.0277,
    97,  2004,   2698.8560,     81.5701,   1462.3170,   1363.7588,    -98.4061,    992.0981,    356.5964,    312.5053,    319.3196,     14.5256,      0.0000,      2.3464,      0.0169,      0.0474,      0.0211,    295.7046,  15336.6533,    443.1484,    218.1100,   1078.3462,    108.1616,   9349.0967,    738.6340,      5.9141,     43.8043,      7.3858,      5.4469,      3.5945,      4.0316,    370.3354,     61.5528,      0.0066,      6.0399,
    98,  2005,   2570.3596,     80.4555,   1375.0330,   1357.9987,    -20.9842,    934.3985,    364.5475,    316.4561,    250.1953,     13.8144,      0.0000,      2.3400,      0.0105,      0.0488,      0.0254,    284.1441,  15327.9785,    418.3813,    229.0586,   1083.5778,    111.0267,   9358.6318,    741.9064,      5.6829,     43.7765,      6.9730,      5.7255,      3.6119,      4.3363,    372.4031,     61.8255,      0.0081,      6.0363,
    99,  2006,   2782.2065,     90.3914,   1481.7065,   1340.7974,   -142.0818,   1101.7489,    403.0487,    339.8556,    361.1107,     14.6783,      0.0000,      2.3400,      0.0164,      0.0420,      0.1274,    297.5538,  15390.7891,    440.3553,    224.3557,   1098.2922,    111.7784,   9369.6377,    745.0851,      5.9511,     43.9568,      7.3393,      5.6033,      3.6609,      4.1778,    373.9238,     62.0904,      0.0043,      5.9351,
   100,  2007,   2256.8806,     84.1178,   1209.4309,   1216.7246,     13.9858,    800.6030,    425.3645,    283.0945,    188.2416,     12.6551,      0.0000,      2.3400,      0.0071,      0.0400,      0.1329,    261.0819,  15341.0947,    422.1063,    250.4926,   1108.2179,    118.7615,   9392.2197,    747.9493,      5.2216,     43.8142,      7.0351,      6.2617,      3.6940,      4.4771,    376.1446,     62.3290,      0.0121,      5.9302,
   101,  1998,   2549.8494,     87.7236,   1369.9556,   1354.2814,     -9.9839,   1209.1770,    398.3694,    313.1505,    451.8706,     14.5631,      0.0000,      2.3400,      0.0210,      0.0437,      0.0000,    284.2634,  15307.2314,    416.6486,    235.9346,   1113.5317,    114.2146,   9416.2139,    751.1172,      5.6853,     43.7155,      6.9441,      5.8978,      3.7117,      4.2637,    378.2995,     62.5931,      0.0084,      6.0638,
   102,  1999,   2671.8508,     84.0486,   1417.2299,   1364.5891,    -64.7170,   1363.0037,    433.3371,    337.4596,    543.9859,     14.2098,      0.0000,      2.3400,      0.0286,      0.0493,      0.0248,    295.1770,  15325.1484,    427.6379,    215.6216,   1106.6743,    110.3402,   9431.8750,    754.2656,      5.9035,     43.7650,      7.1273,      5.3891,      3.6889,      4.1986,    380.4478,     62.8554,      0.0080,      6.0399,
   103,  2000,   2608.0925,     76.6983,   1399.0372,   1324.5845,    -55.5732,   1131.5302,    386.9404,    319.3235,    428.6284,     13.6390,      0.0000,      2.3464,      0.0224,      0.0454,      0.0075,    283.4909,  15345.5762,    416.8105,    233.6095,   1119.2587,    111.4018,   9439.9629,    757.2537,      5.6698,     43.8207,      6.9468,      5.8397,      3.7308,      4.3606,    382.1580,     63.1044,      0.0073,      6.0582,
   104,  2001,   2753.5083,     87.4901,   1465.0110,   1348.8884,   -129.9333,    946.5953,    407.5042,    333.3227,    241.1042,     14.6530,      0.0000,      2.3400,      0.0125,      0.0438,      0.0000,    295.0303,  15399.4580,    445.0215,    222.0874,   1117.6825,    112.5106,   9454.6025,    760.2413,      5.9006,     43.9741,      7.4170,      5.5516,      3.7256,      4.1728,    383.7988,     63.3534,      0.0096,      6.0667,
   105,  2002,   2274.4939,     67.0424,   1218.1439,   1357.2151,    137.6462,   1092.1993,    385.4771,    286.6733,    380.5298,     12.7906,      0.0000,      2.3400,      0.0187,      0.0542,      0.0086,    288.3825,  15312.3467,    390.2070,    217.3156,   1104.1775,    110.5827,   9468.0215,    763.2154,      5.7676,     43.7217,      6.5035,      5.4313,      3.6806,      4.5189,    386.9263,     63.6012,      0.0040,      6.0590,
   106,  2003,   2653.9919,     77.1786,   1430.3597,   1343.5529,    -86.5987,   1345.7749,    359.2320,    306.8526,    683.0848,     14.1203,      0.0000,      2.3400,      0.0373,      0.0495,      0.0263,    292.9197,  15365.5684,    426.4764,    211.3052,   1094.6218,    107.5752,   9464.9170,    766.0712,      5.8584,     43.8714,      7.1079,      5.2816,      3.6487,      4.2119,    388.5719,     63.8392,      0.0086,      6.0426,
   107,  2004,   2698.8884,     77.4326,   1464.5121,   1372.8965,    -91.4034,    992.0981,    356.6136,    312.5327,    319.2747,     14.5417,      0.0000,      2.3464,      0.0179,      0.0511,      0.0168,    295.7169,  15424.2744,    443.8962,    218.4130,   1084.8037,    108.8284,   9460.8613,    768.9236,      5.9143,     44.0418,      7.3983,      5.4552,      3.6160,      4.2025,    389.9523,     64.0769,      0.0061,      6.0535,
   108,  2005,   2570.1868,     77.0518,   1376.7123,   1366.6753,    -13.6769,    934.3985,    364.5353,    316.5139,    250.1508,     13.8488,      0.0000,      2.3400,      0.0108,      0.0525,      0.0039,    284.1531,  15411.7480,    419.0828,    229.3570,   1089.8927,    111.6775,   9467.0303,    771.7111,      5.6831,     44.0070,      6.9847,      5.7331,      3.6329,      4.5013,    392.0552,     64.3092,      0.0084,      6.0677,
   109,  2006,   2782.1399,     86.4223,   1483.6025,   1349.0823,   -135.8758,   1101.7489,    403.0291,    339.8089,    361.1777,     14.7125,      0.0000,      2.3400,      0.0173,      0.0455,      0.0865,    297.5588,  15471.0381,    441.0294,    224.6442,   1104.4280,    112.4096,   9474.7578,    774.4169,      5.9512,     44.1811,      7.3505,      5.6102,      3.6814,      4.3359,    393.6062,     64.5347,      0.0044,      5.9864,
   110,  2007,   2256.8870,     81.4103,   1210.9043,   1223.7744,     19.6881,    800.6030,    425.3968,    283.1093,    188.2346,     12.6774,      0.0000,      2.3400,      0.0078,      0.0430,      0.0834,    261.0838,  15419.7969,    422.6995,    250.7845,   1114.2352,    119.3908,   9494.5723,    776.8647,      5.2217,     44.0344,      7.0450,      6.2690,      3.7141,      4.6358,    395.8536,     64.7386,      0.0126,      5.9903,
   111,  1998,   2549.8647,     82.9432,   1372.2217,   1362.0586,     -4.7378,   1209.1770,    398.3816,    313.1737,    451.8167,     14.5337,      0.0000,      2.3400,      0.0218,      0.0471,      0.0000,    284.3264,  15383.7666,    417.3725,    236.2570,   1119.3928,    114.8072,   9515.5840,    779.5845,      5.6865,     43.9288,      6.9562,      5.9058,      3.7313,      4.4388,    398.0762,     64.9653,      0.0087,      6.0748,
   112,  1999,   2671.9443,     80.5384,   1419.1600,   1372.4135,    -58.6046,   1363.0037,    433.3842,    337.5173,    543.8588,     14.2482,      0.0000,      2.3400,      0.0304,      0.0530,      0.0028,    295.1863,  15399.0391,    428.3221,    215.9090,   1112.3114,    110.9278,   9528.2705,    782.2671,      5.9037,     43.9736,      7.1387,      5.3964,      3.7077,      4.3643,    400.2549,     65.1889,      0.0081,      6.0730,
   113,  2000,   2608.1279,     72.8321,   1400.8888,   1331.9703,    -50.2329,   1131.5302,    386.9533,    319.3447,    428.5957,     13.6374,      0.0000,      2.3464,      0.0237,      0.0489,      0.0027,    283.5038,  15415.3857,    417.4626,    233.8990,   1124.7670,    111.9700,   9533.5137,    784.8085,      5.6701,     44.0233,      6.9577,      5.8469,      3.7492,      4.5331,    402.0176,     65.4007,      0.0077,      6.0742,
   114,  2001,   2753.5393,     83.0141,   1467.1577,   1356.1064,   -125.1445,    946.5953,    407.5139,    333.3460,    241.0758,     14.6662,      0.0000,      2.3400,      0.0130,      0.0471,      0.0000,    295.0471,  15465.8770,    445.7543,    222.4086,   1122.9873,    113.0525,   9545.4814,    787.3586,      5.9009,     44.1735,      7.4292,      5.5596,      3.7433,      4.3491,    403.6968,     65.6132,      0.0100,      6.0778,
   115,  2002,   2274.5068,     63.7204,   1220.0023,   1364.3033,    142.9412,   1092.1993,    385.4946,    286.6801,    380.4981,     12.8055,      0.0000,      2.3400,      0.0196,      0.0577,      0.0078,    288.3955,  15376.8857,    390.7963,    217.5825,   1109.2347,    111.1266,   9556.2139,    789.8863,      5.7679,     43.9197,      6.5133,      5.4381,      3.6974,      4.6931,    406.8642,     65.8238,      0.0056,      6.0707,
   116,  2003,   2654.1443,     73.3232,   1432.5450,   1350.5216,    -81.5856,   1345.7749,    359.2747,    306.9508,    682.9446,     14.1417,      0.0000,      2.3400,      0.0389,      0.0533,      0.0237,    292.9331,  15427.2695,    427.2163,    211.5815,   1099.3536,    108.0961,   9550.6348,    792.2853,      5.8587,     44.0677,      7.1203,      5.2889,      3.6645,      4.3855,    408.5487,     66.0237,      0.0095,      6.0555,
   117,  2004,   2698.9094,     73.4202,   1466.6073,   1379.7880,    -86.8605,    992.0981,    356.6224,    312.5446,    319.2525,     14.5575,      0.0000,      2.3464,      0.0191,      0.0549,      0.0140,    295.7270,  15484.5986,    444.5546,    218.6881,   1089.3362,    109.3332,   9543.7158,    794.6915,      5.9145,     44.2300,      7.4092,      5.4626,      3.6311,      4.3762,    409.9653,     66.2242,      0.0063,      6.0658,
   118,  2005,   2570.0310,     73.6305,   1378.5132,   1373.1777,     -8.8991,    934.3985,    364.5237,    316.5687,    250.1075,     13.8623,      0.0000,      2.3400,      0.0113,      0.0563,      0.0027,    284.1645,  15471.1562,    419.6587,    229.6174,   1094.2819,    112.1690,   9547.4141,    797.0469,      5.6833,     44.1923,      6.9943,      5.7399,      3.6476,      4.6775,    412.1058,     66.4205,      0.0086,      6.0776,
   119,  2006,   2782.1616,     82.5955,   1485.7205,   1355.2924,   -131.6744,   1101.7489,    403.0372,    339.8189,    361.1604,     14.7725,      0.0000,      2.3400,      0.0182,      0.0488,      0.0425,    297.5587,  15530.4092,    441.6949,    224.9255,   1108.7982,    112.8930,   9552.8564,    799.3315,      5.9512,     44.3564,      7.3616,      5.6175,      3.6960,      4.4945,    413.6637,     66.6109,      0.0060,      6.0383,
   120,  2007,   2256.9233,     78.5588,   1212.4860,   1229.1753,     23.5133,    800.6030,    425.4283,    283.1221,    188.2238,     12.6983,      0.0000,      2.3400,      0.0086,      0.0459,      0.0329,    261.1189,  15477.3867,    423.2918,    251.0752,   1118.5714,    119.8749,   9570.6250,    801.4091,      5.2224,     44.2104,      7.0549,      6.2763,      3.7285,      4.7943,    415.9314,     66.7840,      0.0131,      6.0484,
   121,  1998,   2549.9207,     78.1475,   1374.6982,   1367.9906,     -1.3178,   1209.1770,    398.4184,    313.2465,    451.7432,     14.5057,      0.0000,      2.3400,      0.0226,      0.0506,      0.0000,    284.3805,  15439.7021,    418.1391,    236.6149,   1123.6926,    115.2709,   9589.4922,    803.7140,      5.6876,     44.1084,      6.9690,      5.9148,      3.7456,      4.6159,    418.2198,     66.9761,      0.0091,      6.0817,
   122,  1999,   2671.9956,     76.8621,   1421.2319,   1378.4692,    -54.4651,   1363.0037,    433.4062,    337.5400,    543.7462,     14.2650,      0.0000,      2.3400,      0.0321,      0.0566,      0.0026,    295.1941,  15453.6045,    429.0365,    216.2032,   1116.4437,    111.3865,   9600.1113,    805.9810,      5.9039,     44.1522,      7.1506,      5.4041,      3.7214,      4.5413,    420.4361,     67.1650,      0.0084,      6.0794,
   123,  2000,   2608.1631,     69.3713,   1402.7721,   1337.6871,    -46.2479,   1131.5302,    386.9672,    319.3663,    428.5627,     13.6529,      0.0000,      2.3464,      0.0253,      0.0524,      0.0026,    283.5154,  15469.6406,    418.1030,    234.1851,   1128.8169,    112.4126,   9603.3682,    808.1265,      5.6703,     44.1965,      6.9684,      5.8540,      3.7627,      4.7086,    422.2269,     67.3438,      0.0080,      6.0795,
   124,  2001,   2753.5793,     78.7429,   1469.4581,   1361.7028,   -121.7494,    946.5953,    407.5299,    333.3832,    241.0291,     14.6855,      0.0000,      2.3400,      0.0135,      0.0506,      0.0000,    295.0599,  15520.3691,    446.5285,    222.7069,   1126.9375,    113.4825,   9613.5195,    810.2783,      5.9012,     44.3373,      7.4421,      5.5670,      3.7564,      4.5262,    423.9291,     67.5231,      0.0105,      6.0823,
   125,  2002,   2274.5188,     60.7843,   1221.5361,   1369.8193,    146.9158,   1092.1993,    385.5115,    286.6861,    380.4679,     12.8228,      0.0000,      2.3400,      0.0205,      0.0613,      0.0036,    288.4070,  15429.4316,    391.3909,    217.8421,   1113.0996,    111.5522,   9622.3340,    812.4078,      5.7681,     44.0850,      6.5232,      5.4446,      3.7103,      4.8681,    427.1331,     67.7006,      0.0038,      6.0789,
   126,  2003,   2654.1836,     69.7606,   1434.4150,   1355.9473,    -78.0492,   1345.7749,    359.2859,    306.9723,    682.9128,     14.1598,      0.0000,      2.3400,      0.0404,      0.0571,      0.0171,    292.9441,  15478.7236,    427.8744,    211.8236,   1103.1521,    108.5031,   9614.9326,    814.4211,      5.8589,     44.2261,      7.1312,      5.2950,      3.6771,      4.5588,    428.8407,     67.8684,      0.0094,      6.0653,
   127,  2004,   2698.9270,     69.6457,   1468.5638,   1385.2004,    -83.2842,    992.0981,    356.6323,    312.5593,    319.2281,     14.5714,      0.0000,      2.3464,      0.0201,      0.0587,      0.0115,    295.7386,  15535.8506,    445.2937,    218.9545,   1093.0411,    109.7322,   9606.2158,    816.4332,      5.9148,     44.3850,      7.4216,      5.4703,      3.6434,      4.5497,    430.2878,     68.0360,      0.0065,      6.0710,
   128,  2005,   2570.0869,     70.3111,   1380.2177,   1378.3912,     -5.4181,    934.3985,    364.5323,    316.5594,    250.1080,     13.8757,      0.0000,      2.3400,      0.0118,      0.0601,      0.0014,    284.1805,  15521.9443,    420.3125,    229.8833,   1097.9316,    112.5619,   9608.0928,    818.4088,      5.6836,     44.3419,      7.0052,      5.7465,      3.6597,      4.8540,    432.4570,     68.2007,      0.0091,      6.0812,
